No Target Detected at x: 3 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 3 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 15.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 17.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 19.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 21.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 23.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 25.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 27.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 29.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 31.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 33.0 cm, y: 0 cm, z: 0.0 cm
x: 36.4 cm, y: 0.0 cm, z: 8.0 cm, a: 71.27902113343504 cm
x: 35.6 cm, y: 1.7145055188062946e-16 cm, z: 8.0 cm, a: 75.16027157662998 cm
No Target Detected at x: 39.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 3 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 15.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 17.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 19.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 21.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 23.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 25.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 27.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 29.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 31.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 33.0 cm, y: -2.0 cm, z: 0.0 cm
x: 36.4 cm, y: -2.0 cm, z: 8.0 cm, a: 71.57133962791181 cm
x: 35.6 cm, y: -1.9999999999999998 cm, z: 8.0 cm, a: 76.11838713361996 cm
No Target Detected at x: 39.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -2.0 cm, z: 0.0 cm
No Target Detected at x: 3 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 15.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 17.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 19.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 21.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 23.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 25.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 27.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 29.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 31.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 33.0 cm, y: -4.0 cm, z: 0.0 cm
x: 36.4 cm, y: -4.0 cm, z: 8.0 cm, a: 71.73216058085512 cm
x: 35.6 cm, y: -4.0 cm, z: 8.0 cm, a: 76.01825789629434 cm
No Target Detected at x: 39.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -4.0 cm, z: 0.0 cm
No Target Detected at x: 3 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 15.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 17.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 19.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 21.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 23.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 25.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 27.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 29.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 31.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 33.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 35.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 37.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 39.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -6.0 cm, z: 0.0 cm
No Target Detected at x: 3 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 15.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 17.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 19.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 21.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 23.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 25.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 27.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 29.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 31.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 33.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 35.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 37.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 39.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -8.0 cm, z: 0.0 cm
No Target Detected at x: 45.0 cm, y: -8.0 cm, z: 0.0 cm
x: 46.513785102532594 cm, y: -10.757461708434182 cm, z: 8.0 cm, a: 50.39838280503005 cm
x: 48.76058589967203 cm, y: -8.657784834550135 cm, z: 8.0 cm, a: 53.49618151459658 cm
x: 50.76058589967203 cm, y: -8.657784834550135 cm, z: 8.0 cm, a: 46.8448744311179 cm
